ID,Name in English,Degree of endangerment,Countries,Number of speakers,country_count,naive_speakers_per_country
195,Kayardild,Critically endangered,Australia,8.0,1,8.0
78,Ongota,Critically endangered,Ethiopia,8.0,1,8.0
636,Munichi,Critically endangered,Peru,8.0,1,8.0
664,Xetá,Critically endangered,Brazil,8.0,1,8.0
913,Ayapanec,Critically endangered,Mexico,8.0,1,8.0
1400,Busuu,Critically endangered,Cameroon,8.0,1,8.0
583,Chamicuro,Critically endangered,Peru,8.0,1,8.0
575,Ajuru,Severely endangered,Brazil,8.0,1,8.0
132,N|uu,Critically endangered,South Africa,8.0,1,8.0
2515,Araki,Critically endangered,Vanuatu,8.0,1,8.0
805,Kiksht,Critically endangered,United States of America,7.0,1,7.0
2114,Makolkol,Critically endangered,Papua New Guinea,7.0,1,7.0
369,Karaim (Western Ukraine),Critically endangered,Ukraine,6.0,1,6.0
2071,Arabana,Critically endangered,Australia,6.0,1,6.0
1663,Anambé,Critically endangered,Brazil,6.0,1,6.0
820,Kings River Yokuts,Critically endangered,United States of America,6.0,1,6.0
133,Korana,Critically endangered,South Africa,6.0,1,6.0
815,Northern Sierra Miwok,Critically endangered,United States of America,6.0,1,6.0
204,Mangarrayi,Critically endangered,Australia,6.0,1,6.0
844,Ipai,Critically endangered,United States of America,6.0,1,6.0
567,Akuntsu,Critically endangered,Brazil,6.0,1,6.0
249,Wunambal,Critically endangered,Australia,5.0,1,5.0
1674,Mawayana (Brazil),Critically endangered,"Brazil, Suriname",10.0,2,5.0
600,Guató,Critically endangered,Brazil,5.0,1,5.0
2722,Great andamanese,Critically endangered,India,5.0,1,5.0
2513,Olrat,Critically endangered,Vanuatu,5.0,1,5.0
902,Yuchi,Critically endangered,United States of America,5.0,1,5.0
2154,Umbrul,Critically endangered,Vanuatu,5.0,1,5.0
2138,Vano,Critically endangered,Solomon Islands,5.0,1,5.0
1359,Tuzantec,Critically endangered,Mexico,5.0,1,5.0
679,Southern Selkup,Critically endangered,Russian Federation,5.0,1,5.0
651,Resígaro,Critically endangered,Peru,5.0,1,5.0
2152,Sorsorian,Critically endangered,Vanuatu,5.0,1,5.0
2417,Aqaw Gelao,Critically endangered,China,5.0,1,5.0
2142,Aveteian,Critically endangered,Vanuatu,5.0,1,5.0
719,Central Selkup,Critically endangered,Russian Federation,5.0,1,5.0
1789,Cocama-Cocamilla (Brazil),Critically endangered,Brazil,5.0,1,5.0
178,Dyirbal,Critically endangered,Australia,5.0,1,5.0
2077,Gamilaraay,Critically endangered,Australia,5.0,1,5.0
163,"Aleut (Western, Commander Islands)",Critically endangered,Russian Federation,5.0,1,5.0
2655,Abaga,Critically endangered,Papua New Guinea,5.0,1,5.0
40,Ndai,Critically endangered,Cameroon,5.0,1,5.0
2149,Navwien,Critically endangered,Vanuatu,5.0,1,5.0
2147,Nasarian,Critically endangered,Vanuatu,5.0,1,5.0
2146,Naman,Critically endangered,Vanuatu,5.0,1,5.0
2551,Mansim,Critically endangered,Indonesia,5.0,1,5.0
455,Manchurian Kirghiz,Critically endangered,China,5.0,1,5.0
793,Lushootseed,Critically endangered,United States of America,5.0,1,5.0
869,Luiseño,Critically endangered,United States of America,5.0,1,5.0
2549,Liki,Critically endangered,Indonesia,5.0,1,5.0
611,Kanoê,Critically endangered,Brazil,5.0,1,5.0
960,Kalispel,Critically endangered,United States of America,5.0,1,5.0
609,Juma,Critically endangered,Brazil,5.0,1,5.0
606,Itonama,Critically endangered,Bolivia (Plurinational State of),5.0,1,5.0
2200,Isarog Agta,Critically endangered,Philippines,5.0,1,5.0
527,Iduh (Viet Nam),Critically endangered,Viet Nam,5.0,1,5.0
152,Holikachuk,Critically endangered,United States of America,5.0,1,5.0
2150,Nivat,Critically endangered,Vanuatu,5.0,1,5.0
2151,Niviar,Critically endangered,Vanuatu,5.0,1,5.0
1958,Paunaca,Critically endangered,Bolivia (Plurinational State of),5.0,1,5.0
640,Oro Win,Critically endangered,Brazil,5.0,1,5.0
218,Ngalakan,Critically endangered,Australia,5.0,1,5.0
668,Zaparo,Critically endangered,"Ecuador, Peru",9.0,2,4.5
2563,Saponi,Critically endangered,Indonesia,4.0,1,4.0
2139,Tanema,Critically endangered,Solomon Islands,4.0,1,4.0
658,Tehuelche,Critically endangered,Argentina,4.0,1,4.0
1462,Totoró,Critically endangered,Colombia,4.0,1,4.0
235,Waanyi,Critically endangered,Australia,4.0,1,4.0
248,Worrorra,Critically endangered,Australia,4.0,1,4.0
2120,Ouma,Critically endangered,Papua New Guinea,4.0,1,4.0
2072,Paakantyi,Critically endangered,Australia,4.0,1,4.0
2521,Bonerif,Critically endangered,Indonesia,4.0,1,4.0
802,Coeur d'Alene,Critically endangered,United States of America,4.0,1,4.0
38,Njerep,Critically endangered,Cameroon,4.0,1,4.0
2266,Lengilu,Critically endangered,Indonesia,4.0,1,4.0
2106,Guranalum,Critically endangered,Papua New Guinea,4.0,1,4.0
2074,Dharawal,Critically endangered,Australia,4.0,1,4.0
835,Central Pomo,Critically endangered,United States of America,3.0,1,3.0
816,Central Sierra Miwok,Critically endangered,United States of America,3.0,1,3.0
1470,Chemehuevi,Critically endangered,United States of America,3.0,1,3.0
1643,Mabiri,Critically endangered,Chad,3.0,1,3.0
2157,Ura,Critically endangered,Vanuatu,3.0,1,3.0
817,Southern Sierra Miwok,Critically endangered,United States of America,3.0,1,3.0
279,Tuscarora (United States of America),Critically endangered,United States of America,3.0,1,3.0
865,Tubatulabal,Critically endangered,United States of America,3.0,1,3.0
1463,Mescalero-Chiricahua Apache (Oklahoma),Critically endangered,United States of America,3.0,1,3.0
834,Northern Pomo,Critically endangered,United States of America,3.0,1,3.0
